;ImageId;part;iou;dice
238;02766c52b.jpg;4;0.2498394399881363;0.39979445934295654
239;02766c52b.jpg;5;0.7984550595283508;0.8879343867301941
240;02766c52b.jpg;6;0.3484848439693451;0.516853928565979
241;02766c52b.jpg;7;0.7037593722343445;0.8261253237724304
242;02766c52b.jpg;8;0.7577319741249084;0.8621701002120972
243;0296a13f9.jpg;0;1.0;1.0
244;0296a13f9.jpg;1;1.0;1.0
245;0296a13f9.jpg;2;1.0;1.0
246;0296a13f9.jpg;3;0.7944444417953491;0.8854489326477051
247;0296a13f9.jpg;4;1.0;1.0
248;0296a13f9.jpg;5;0.7375527620315552;0.8489558100700378
249;0296a13f9.jpg;6;1.0;1.0
250;0296a13f9.jpg;7;1.0;1.0
251;0296a13f9.jpg;8;1.0;1.0
252;02a9756b9.jpg;0;1.0;1.0
253;02a9756b9.jpg;1;1.0;1.0
254;02a9756b9.jpg;2;1.0;1.0
255;02a9756b9.jpg;3;1.0;1.0
256;02a9756b9.jpg;4;1.0;1.0
257;02a9756b9.jpg;5;1.0;1.0
258;02a9756b9.jpg;6;0.6815789341926575;0.8106416463851929
259;02a9756b9.jpg;7;0.05940594896674156;0.11214954406023026
260;02a9756b9.jpg;8;1.0;1.0
261;02c025c7d.jpg;0;1.0;1.0
262;02c025c7d.jpg;1;1.0;1.0
263;02c025c7d.jpg;2;1.0;1.0
264;02c025c7d.jpg;3;1.0;1.0
265;02c025c7d.jpg;4;1.0;1.0
266;02c025c7d.jpg;5;1.0;1.0
267;02c025c7d.jpg;6;0.7798634767532349;0.8763183355331421
268;02c025c7d.jpg;7;0.9155520796775818;0.9559146165847778
269;02c025c7d.jpg;8;1.0;1.0
270;02e39612d.jpg;0;1.0;1.0
271;02e39612d.jpg;1;1.0;1.0
272;02e39612d.jpg;2;1.0;1.0
273;02e39612d.jpg;3;1.0;1.0
274;02e39612d.jpg;4;1.0;1.0
275;02e39612d.jpg;5;1.0;1.0
276;02e39612d.jpg;6;0.9550305604934692;0.9769980907440186
277;02e39612d.jpg;7;0.8674798607826233;0.9290379881858826
278;02e39612d.jpg;8;1.0;1.0
279;02fd831b5.jpg;0;1.0;1.0
280;02fd831b5.jpg;1;1.0;1.0
281;02fd831b5.jpg;2;1.0;1.0
282;02fd831b5.jpg;3;0.7728813290596008;0.8718929290771484
283;02fd831b5.jpg;4;1.0;1.0
284;02fd831b5.jpg;5;1.0;1.0
285;02fd831b5.jpg;6;1.0;1.0
286;02fd831b5.jpg;7;1.0;1.0
287;02fd831b5.jpg;8;1.0;1.0
288;035208d27.jpg;0;1.0;1.0
289;035208d27.jpg;1;1.0;1.0
290;035208d27.jpg;2;1.0;1.0
291;035208d27.jpg;3;1.0;1.0
292;035208d27.jpg;4;0.6774193644523621;0.807692289352417
293;035208d27.jpg;5;1.0;1.0
294;035208d27.jpg;6;1.0;1.0
295;035208d27.jpg;7;1.0;1.0
296;035208d27.jpg;8;1.0;1.0
297;037642165.jpg;0;1.0;1.0
298;037642165.jpg;1;1.0;1.0
299;037642165.jpg;2;1.0;1.0
300;037642165.jpg;3;1.0;1.0
301;037642165.jpg;4;1.0;1.0
302;037642165.jpg;5;1.0;1.0
303;037642165.jpg;6;1.0;1.0
304;037642165.jpg;7;1.0;1.0
305;037642165.jpg;8;0.94834965467453;0.9734901785850525
306;03c2a7431.jpg;0;1.0;1.0
307;03c2a7431.jpg;1;1.0;1.0
308;03c2a7431.jpg;2;1.0;1.0
309;03c2a7431.jpg;3;1.0;1.0
310;03c2a7431.jpg;4;1.0;1.0
311;03c2a7431.jpg;5;1.0;1.0
312;03c2a7431.jpg;6;1.0;1.0
313;03c2a7431.jpg;7;1.0;1.0
314;03c2a7431.jpg;8;0.8264462947845459;0.9049773812294006
315;0408af083.jpg;0;1.0;1.0
316;0408af083.jpg;1;1.0;1.0
317;0408af083.jpg;2;1.0;1.0
318;0408af083.jpg;3;1.0;1.0
319;0408af083.jpg;4;1.0;1.0
